Arrest and Detention,arbitrary or unlawful arrest,,Albania,1/4/2008,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Arrest and Detention,poor or degrading conditions,,Albania,1/4/2008,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Arrest and Detention,arbitrary or unlawful arrest,,Algeria,12/12/1989,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Arrest and Detention,arbitrary or unlawful detention,,Algeria,12/12/1989,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Arrest and Detention,juvenile held with adults,,Uruguay,3/23/1976,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Arrest and Detention,accused held with convicted,,Uruguay,3/23/1976,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Arrest and Detention,poor or degrading conditions,,Uzbekistan,12/28/1995,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Arrest and Detention,arbitrary or unlawful detention,on the basis of disability,Afghanistan,10/18/2012,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Arrest and Detention,arbitrary or unlawful detention,on the basis of disability,Andorra,4/10/2014,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Arrest and Detention,arbitrary or unlawful detention,on the basis of disability,Angola,6/18/2014,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Arrest and Detention,arbitrary or unlawful detention,on the basis of disability,Argentina,10/2/2008,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Arrest and Detention,arbitrary or unlawful detention,on the basis of disability,Australia,9/20/2009,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Arrest and Detention,resulting in an enforced disappearance,,Serbia,6/17/2011,Art. 31 CED declaration,30 days after deposit,International Convention for the Protection of All Persons from Enforced Disappearance,UN Committee on Enforced Disappearances,http://www.ijrcenter.org/un-treaty-bodies/committee-on-enforced-disappearances/
Arrest and Detention,arbitrary or unlawful arrest,resulting in an enforced disappearance,Serbia,6/17/2011,Art. 31 CED declaration,30 days after deposit,International Convention for the Protection of All Persons from Enforced Disappearance,UN Committee on Enforced Disappearances,http://www.ijrcenter.org/un-treaty-bodies/committee-on-enforced-disappearances/
Arrest and Detention,arbitrary or unlawful detention,resulting in an enforced disappearance,Serbia,6/17/2011,Art. 31 CED declaration,30 days after deposit,International Convention for the Protection of All Persons from Enforced Disappearance,UN Committee on Enforced Disappearances,http://www.ijrcenter.org/un-treaty-bodies/committee-on-enforced-disappearances/
Arrest and Detention,arbitrary or unlawful detention,for children under 18,Andorra,12/25/2014,3rd Optional Protocol to CRC,3 months after deposit,Convention on the Rights of the Child,UN Committee on the Rights of the Child,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-the-child/
Arrest and Detention,arbitrary or unlawful arrest,for children under 18,Andorra,12/25/2014,3rd Optional Protocol to CRC,3 months after deposit,Convention on the Rights of the Child,UN Committee on the Rights of the Child,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-the-child/
Arrest and Detention,juvenile held with adults,,Andorra,12/25/2014,3rd Optional Protocol to CRC,3 months after deposit,Convention on the Rights of the Child,UN Committee on the Rights of the Child,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-the-child/
Arrest and Detention,arbitrary or unlawful arrest,,Uruguay,4/19/1985,American Convention,upon deposit,American Convention on Human Rights,Inter-American Commission on Human Rights,http://www.ijrcenter.org/regional/inter-american-system/#Inter-American_Commission_on_Human_Rights
Arrest and Detention,arbitrary or unlawful detention,,Uruguay,4/19/1985,American Convention,upon deposit,American Convention on Human Rights,Inter-American Commission on Human Rights,http://www.ijrcenter.org/regional/inter-american-system/#Inter-American_Commission_on_Human_Rights
Assembly,public protest or demonstration,,Albania,1/4/2008,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Assembly,public protest or demonstration,,Algeria,12/12/1989,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Assembly,public protest or demonstration,,Andorra,12/22/2006,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Assembly,public protest or demonstration ,for children under 18,Uruguay,5/23/2015,3rd Optional Protocol to CRC,3 months after deposit,Convention on the Rights of the Child,UN Committee on the Rights of the Child,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-the-child/
Assembly,public protest or demonstration,,Argentina,9/5/1984,American Convention,upon deposit,American Convention on Human Rights,Inter-American Commission on Human Rights,http://www.ijrcenter.org/regional/inter-american-system/#Inter-American_Commission_on_Human_Rights
Association,freedom to join or create organizations,,Albania,1/4/2008,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Association,freedom to join or create organizations,,Algeria,12/12/1989,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Association,freedom to join or create organizations,on the basis of gender,Uruguay,10/26/2001,Optional Protocol to CEDAW,3 months after deposit,Convention on the Elimination of All Forms of Discrimination Against Women,UN Committee on the Elimination of Discrimination against Women,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-elimination-of-discrimination-against-women/
Association,freedom to join or create organizations,on the basis of disability,Andorra,4/10/2014,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Association,freedom to join or create organizations,on the basis of disability,Angola,6/18/2014,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Association,freedom to join or create organizations,regarding enforced disappearance,Uruguay,12/23/2010,Art. 31 CED declaration,30 days after deposit,International Convention for the Protection of All Persons from Enforced Disappearance,UN Committee on Enforced Disappearances,http://www.ijrcenter.org/un-treaty-bodies/committee-on-enforced-disappearances/
Association,freedom to join or create organizations ,for children under 18,Albania,4/14/2014,3rd Optional Protocol to CRC,3 months after deposit,Convention on the Rights of the Child,UN Committee on the Rights of the Child,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-the-child/
Children's Rights,child labor,,Uruguay,5/5/2013,Optional Protocol to ICESCR,3 months after deposit,"International Covenant on Economic, Social and Cultural Rights","UN Committee on Economic, Social and Cultural Rights",http://www.ijrcenter.org/un-treaty-bodies/committee-on-economic-social-and-cultural-rights/
Children's Rights,protection from abuse or exploitation,,Albania,4/14/2014,3rd Optional Protocol to CRC,3 months after deposit,Convention on the Rights of the Child,UN Committee on the Rights of the Child,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-the-child/
Children's Rights,child labor,,Albania,4/14/2014,3rd Optional Protocol to CRC,3 months after deposit,Convention on the Rights of the Child,UN Committee on the Rights of the Child,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-the-child/
Children's Rights,protection from human trafficking,,Albania,4/14/2014,3rd Optional Protocol to CRC,3 months after deposit,Convention on the Rights of the Child,UN Committee on the Rights of the Child,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-the-child/
Children's Rights,participation in armed conflict,,Albania,4/14/2014,3rd Optional Protocol to CRC,3 months after deposit,Convention on the Rights of the Child,UN Committee on the Rights of the Child,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-the-child/
Children's Rights,protection from abuse or exploitation,,Andorra,12/25/2014,3rd Optional Protocol to CRC,3 months after deposit,Convention on the Rights of the Child,UN Committee on the Rights of the Child,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-the-child/
Culture,right to participate and pursue,,Argentina,5/5/2013,Optional Protocol to ICESCR,3 months after deposit,"International Covenant on Economic, Social and Cultural Rights","UN Committee on Economic, Social and Cultural Rights",http://www.ijrcenter.org/un-treaty-bodies/committee-on-economic-social-and-cultural-rights/
Culture,protection of intellectual property,,Argentina,5/5/2013,Optional Protocol to ICESCR,3 months after deposit,"International Covenant on Economic, Social and Cultural Rights","UN Committee on Economic, Social and Cultural Rights",http://www.ijrcenter.org/un-treaty-bodies/committee-on-economic-social-and-cultural-rights/
Culture,right to participate and pursue,,Belgium,8/20/2014,Optional Protocol to ICESCR,3 months after deposit,"International Covenant on Economic, Social and Cultural Rights","UN Committee on Economic, Social and Cultural Rights",http://www.ijrcenter.org/un-treaty-bodies/committee-on-economic-social-and-cultural-rights/
Culture,protection of intellectual property,,Belgium,8/20/2014,Optional Protocol to ICESCR,3 months after deposit,"International Covenant on Economic, Social and Cultural Rights","UN Committee on Economic, Social and Cultural Rights",http://www.ijrcenter.org/un-treaty-bodies/committee-on-economic-social-and-cultural-rights/
Culture,right to participate and pursue,,Bolivia,5/5/2013,Optional Protocol to ICESCR,3 months after deposit,"International Covenant on Economic, Social and Cultural Rights","UN Committee on Economic, Social and Cultural Rights",http://www.ijrcenter.org/un-treaty-bodies/committee-on-economic-social-and-cultural-rights/
Culture,protection of intellectual property,,Bolivia,5/5/2013,Optional Protocol to ICESCR,3 months after deposit,"International Covenant on Economic, Social and Cultural Rights","UN Committee on Economic, Social and Cultural Rights",http://www.ijrcenter.org/un-treaty-bodies/committee-on-economic-social-and-cultural-rights/
Culture,right to participate and pursue,on the basis of gender,Albania,9/23/2003,Optional Protocol to CEDAW,3 months after deposit,Convention on the Elimination of All Forms of Discrimination Against Women,UN Committee on the Elimination of Discrimination against Women,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-elimination-of-discrimination-against-women/
Culture,right to participate and pursue,on the basis of gender,Andorra,1/14/2003,Optional Protocol to CEDAW,3 months after deposit,Convention on the Elimination of All Forms of Discrimination Against Women,UN Committee on the Elimination of Discrimination against Women,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-elimination-of-discrimination-against-women/
Culture,right to participate and pursue,on the basis of gender,Angola,2/1/2007,Optional Protocol to CEDAW,3 months after deposit,Convention on the Elimination of All Forms of Discrimination Against Women,UN Committee on the Elimination of Discrimination against Women,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-elimination-of-discrimination-against-women/
Culture,right to participate and pursue,on the basis of disability,Afghanistan,10/18/2012,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Culture,right to participate and pursue,on the basis of disability,Andorra,4/10/2014,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Culture,right to participate and pursue,on the basis of race,Algeria,9/12/1989,Art. 14 CERD declaration,30 days after deposit,International Convention on the Elimination of All Forms of Racial Discrimination,UN Committee on the Elimination of Racial Discrimination,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-elimination-of-racial-discrimination/
Culture,right to participate and pursue,on the basis of race,Andorra,10/22/2006,Art. 14 CERD declaration,30 days after deposit,International Convention on the Elimination of All Forms of Racial Discrimination,UN Committee on the Elimination of Racial Discrimination,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-elimination-of-racial-discrimination/
Culture,right to participate and pursue,on the basis of disability,Finland,8/1/2002,Additional Protocol to the European Social Charter Providing for a System of Collective Complaints,1st day of 2nd month after deposit,Revised European Social Charter,European Committee of Social Rights,http://www.ijrcenter.org/european-committee-of-social-rights/
Culture,right to participate and pursue,for the elderly,Finland,8/1/2002,Additional Protocol to the European Social Charter Providing for a System of Collective Complaints,1st day of 2nd month after deposit,Revised European Social Charter,European Committee of Social Rights,http://www.ijrcenter.org/european-committee-of-social-rights/
Culture,right to participate and pursue,,Finland,8/1/2002,Additional Protocol to the European Social Charter Providing for a System of Collective Complaints,1st day of 2nd month after deposit,Revised European Social Charter,European Committee of Social Rights,http://www.ijrcenter.org/european-committee-of-social-rights/
Education,access to primary or secondary education,,Uruguay,5/5/2013,Optional Protocol to ICESCR,3 months after deposit,"International Covenant on Economic, Social and Cultural Rights","UN Committee on Economic, Social and Cultural Rights",http://www.ijrcenter.org/un-treaty-bodies/committee-on-economic-social-and-cultural-rights/
Education,access to higher education,,Uruguay,5/5/2013,Optional Protocol to ICESCR,3 months after deposit,"International Covenant on Economic, Social and Cultural Rights","UN Committee on Economic, Social and Cultural Rights",http://www.ijrcenter.org/un-treaty-bodies/committee-on-economic-social-and-cultural-rights/
Education,access to free primary education,,Uruguay,5/5/2013,Optional Protocol to ICESCR,3 months after deposit,"International Covenant on Economic, Social and Cultural Rights","UN Committee on Economic, Social and Cultural Rights",http://www.ijrcenter.org/un-treaty-bodies/committee-on-economic-social-and-cultural-rights/
Education,access to higher education,on the basis of gender,Uruguay,10/26/2001,Optional Protocol to CEDAW,3 months after deposit,Convention on the Elimination of All Forms of Discrimination Against Women,UN Committee on the Elimination of Discrimination against Women,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-elimination-of-discrimination-against-women/
Education,access to primary or secondary education,on the basis of disability,Uruguay,11/27/2011,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Education,access to primary or secondary education,on the basis of race,Uruguay,12/3/1982,Art. 14 CERD declaration,30 days after deposit,International Convention on the Elimination of All Forms of Racial Discrimination,UN Committee on the Elimination of Racial Discrimination,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-elimination-of-racial-discrimination/
Education,access to primary or secondary education,for children under 18,Uruguay,5/23/2015,3rd Optional Protocol to CRC,3 months after deposit,Convention on the Rights of the Child,UN Committee on the Rights of the Child,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-the-child/
Education,access to free primary education,,Uruguay,5/23/2015,3rd Optional Protocol to CRC,3 months after deposit,Convention on the Rights of the Child,UN Committee on the Rights of the Child,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-the-child/
Education,right to learn the national language,for migrant workers,Sweden,7/1/1998,Additional Protocol to the European Social Charter Providing for a System of Collective Complaints,1st day of 2nd month after deposit,Revised European Social Charter,European Committee of Social Rights,http://www.ijrcenter.org/european-committee-of-social-rights/
Education,access to primary or secondary education,,Sweden,7/1/1998,Additional Protocol to the European Social Charter Providing for a System of Collective Complaints,1st day of 2nd month after deposit,Revised European Social Charter,European Committee of Social Rights,http://www.ijrcenter.org/european-committee-of-social-rights/
Education,right to vocational guidance or training,,Sweden,7/1/1998,Additional Protocol to the European Social Charter Providing for a System of Collective Complaints,1st day of 2nd month after deposit,Revised European Social Charter,European Committee of Social Rights,http://www.ijrcenter.org/european-committee-of-social-rights/
Education,right to vocational guidance or training,on the basis of disability,Sweden,7/1/1998,Additional Protocol to the European Social Charter Providing for a System of Collective Complaints,1st day of 2nd month after deposit,Revised European Social Charter,European Committee of Social Rights,http://www.ijrcenter.org/european-committee-of-social-rights/
Equal Protection and Non-discrimination,"with regard to economic, social and cultural rights",,Argentina,5/5/2013,Optional Protocol to ICESCR,3 months after deposit,"International Covenant on Economic, Social and Cultural Rights","UN Committee on Economic, Social and Cultural Rights",http://www.ijrcenter.org/un-treaty-bodies/committee-on-economic-social-and-cultural-rights/
Equal Protection and Non-discrimination,"with regard to economic, social and cultural rights",,Belgium,8/20/2014,Optional Protocol to ICESCR,3 months after deposit,"International Covenant on Economic, Social and Cultural Rights","UN Committee on Economic, Social and Cultural Rights",http://www.ijrcenter.org/un-treaty-bodies/committee-on-economic-social-and-cultural-rights/
Equal Protection and Non-discrimination,,,Albania,1/4/2008,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Equal Protection and Non-discrimination,,,Algeria,12/12/1989,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Equal Protection and Non-discrimination,on the basis of gender,,Albania,9/23/2003,Optional Protocol to CEDAW,3 months after deposit,Convention on the Elimination of All Forms of Discrimination Against Women,UN Committee on the Elimination of Discrimination against Women,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-elimination-of-discrimination-against-women/
Equal Protection and Non-discrimination,"with regard to economic, social and cultural rights",on the basis of gender,Albania,9/23/2003,Optional Protocol to CEDAW,3 months after deposit,Convention on the Elimination of All Forms of Discrimination Against Women,UN Committee on the Elimination of Discrimination against Women,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-elimination-of-discrimination-against-women/
Equal Protection and Non-discrimination,on the basis of gender,,Andorra,1/14/2003,Optional Protocol to CEDAW,3 months after deposit,Convention on the Elimination of All Forms of Discrimination Against Women,UN Committee on the Elimination of Discrimination against Women,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-elimination-of-discrimination-against-women/
Equal Protection and Non-discrimination,"with regard to economic, social and cultural rights",on the basis of gender,Andorra,1/14/2003,Optional Protocol to CEDAW,3 months after deposit,Convention on the Elimination of All Forms of Discrimination Against Women,UN Committee on the Elimination of Discrimination against Women,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-elimination-of-discrimination-against-women/
Equal Protection and Non-discrimination,on the basis of disability,,Afghanistan,10/18/2012,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Equal Protection and Non-discrimination,on the basis of disability,access to public facilities and services,Afghanistan,10/18/2012,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Equal Protection and Non-discrimination,on the basis of disability,protection from abuse or exploitation,Afghanistan,10/18/2012,Optional Protocol to CRPD,30 days after deposit,Convention on the Rights of Persons with Disabilities,UN Committee on the Rights of Persons with Disabilities,http://www.ijrcenter.org/un-treaty-bodies/committee-on-the-rights-of-persons-with-disabilities/
Fair Trial and Due Process,due process in criminal proceedings,,Sweden,3/23/1976,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Fair Trial and Due Process,independent and impartial judge,,Sweden,3/23/1976,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/
Fair Trial and Due Process,presumption of innocence,,Sweden,3/23/1976,Optional Protocol to the ICCPR,3 months after deposit,International Covenant on Civil and Political Rights,UN Human Rights Committee,http://www.ijrcenter.org/un-treaty-bodies/human-rights-committee/